FileName;NumberLayers;NumberNeurons;ActivationFunctions;TrainingFunction;Epochs;Division;TrainRatio;ValRatio;TestRatio;Accuracy;TestAccuracy;Learning Functions;Learning Rate
model_69_93_55.mat;2;[400 400];tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;93.2142857142857;55.5555555555556;learngdm learngdm;0.07
model_69_93_68.mat;2;[400 400];tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;93.4523809523809;68.2539682539683;learngdm learngdm;0.07
model_69_92_65.mat;2;[400 400];tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;92.3809523809524;65.8730158730159;learngdm learngdm;0.07
model_69_92_72.mat;2;[400 400];tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;92.8571428571429;72.2222222222222;learngdm learngdm;0.07
model_69_93_61.mat;2;[400 400];tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;93.3333333333333;61.1111111111111;learngdm learngdm;0.07
model_69_92_70.mat;2;[400 400];tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;92.5;70.6349206349206;learngdm learngdm;0.07
model_69_76_37.mat;2;[400 400];tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;76.3095238095238;37.3015873015873;learngdm learngdm;0.07
model_69_93_70.mat;2;[400 400];tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;93.4523809523809;70.6349206349206;learngdm learngdm;0.07
model_69_93_59.mat;2;[400 400];tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;93.3333333333333;59.5238095238095;learngdm learngdm;0.07
model_69_93_62.mat;2;[400 400];tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;93.5714285714286;62.6984126984127;learngdm learngdm;0.07
model_69_90_52.mat;2;[400 400];tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;90.4761904761905;52.3809523809524;learngdm learngdm;0.07
model_69_93_64.mat;2;[400 400];tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;93.6904761904762;64.2857142857143;learngdm learngdm;0.07
model_69_92_67.mat;2;[400 400];tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;92.6190476190476;67.4603174603175;learngdm learngdm;0.07
model_69_93_65.mat;2;[400 400];tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;93.8095238095238;65.0793650793651;learngdm learngdm;0.07
model_69_92_66.mat;2;[400 400];tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;92.6190476190476;66.6666666666667;learngdm learngdm;0.07
model_69_94_68.mat;2;[400 400];tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;94.4047619047619;68.2539682539683;learngdm learngdm;0.07
model_69_93_63.mat;2;[400 400];tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;93.5714285714286;63.4920634920635;learngdm learngdm;0.07
model_69_92_60.mat;2;[400 400];tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;92.8571428571429;60.3174603174603;learngdm learngdm;0.07
model_69_92_65.mat;2;[400 400];tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;92.9761904761905;65.0793650793651;learngdm learngdm;0.07
model_69_92_66.mat;2;[400 400];tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;92.9761904761905;66.6666666666667;learngdm learngdm;0.07
Média de ID: 69;2;[400 400];tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;92.2202380952381;63.1746031746032;learngdm learngdm;0.07
