FileName;NumberLayres;NumberNeurons;ActivationFunctions;TrainingFunction;Epochs;Division;TrainRatio;ValRatio;TestRatio;Accuracy;TestAccuracy
model_57_39_9.mat;1;100;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;39.7142857142857;9.52380952380952
model_57_44_11.mat;1;100;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;44.5714285714286;11.4285714285714
model_57_40_7.mat;1;100;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;40.1428571428571;7.61904761904762
model_57_38_9.mat;1;100;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;38.1428571428571;9.52380952380952
model_57_32_9.mat;1;100;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;32;9.52380952380952
model_57_50_13.mat;1;100;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;50.2857142857143;13.3333333333333
model_57_38_6.mat;1;100;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;38;6.66666666666667
model_57_41_14.mat;1;100;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;41.2857142857143;14.2857142857143
model_57_36_16.mat;1;100;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;36.5714285714286;16.1904761904762
model_57_39_9.mat;1;100;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;39;9.52380952380952
Média de ID: 57;1;100;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;39.9714285714286;10.7619047619048
