FileName;NumberLayers;NumberNeurons;ActivationFunctions;TrainingFunction;Epochs;Division;TrainRatio;ValRatio;TestRatio;Accuracy;TestAccuracy;Learning Functions;Learning Rate
model_806_35_5.mat;1;100;tansig purelin;traingd;1000;dividerand;0.7;0.15;0.15;35.7142857142857;5.71428571428571;learngdm;0.05
model_806_51_10.mat;1;100;tansig purelin;traingd;1000;dividerand;0.7;0.15;0.15;51.8571428571429;10.4761904761905;learngdm;0.05
model_806_31_5.mat;1;100;tansig purelin;traingd;1000;dividerand;0.7;0.15;0.15;31.2857142857143;5.71428571428571;learngdm;0.05
model_806_48_13.mat;1;100;tansig purelin;traingd;1000;dividerand;0.7;0.15;0.15;48.2857142857143;13.3333333333333;learngdm;0.05
model_806_38_8.mat;1;100;tansig purelin;traingd;1000;dividerand;0.7;0.15;0.15;38.4285714285714;8.57142857142857;learngdm;0.05
model_806_32_6.mat;1;100;tansig purelin;traingd;1000;dividerand;0.7;0.15;0.15;32.4285714285714;6.66666666666667;learngdm;0.05
model_806_43_11.mat;1;100;tansig purelin;traingd;1000;dividerand;0.7;0.15;0.15;43.4285714285714;11.4285714285714;learngdm;0.05
model_806_41_13.mat;1;100;tansig purelin;traingd;1000;dividerand;0.7;0.15;0.15;41.4285714285714;13.3333333333333;learngdm;0.05
model_806_47_9.mat;1;100;tansig purelin;traingd;1000;dividerand;0.7;0.15;0.15;47.7142857142857;9.52380952380952;learngdm;0.05
model_806_40_12.mat;1;100;tansig purelin;traingd;1000;dividerand;0.7;0.15;0.15;40.4285714285714;12.3809523809524;learngdm;0.05
Média de ID: 806;1;100;tansig purelin;traingd;1000;dividerand;0.7;0.15;0.15;41.1;9.71428571428571;learngdm;0.05
