FileName;NumberLayres;NumberNeurons;ActivationFunctions;TrainingFunction;Epochs;Division;TrainRatio;ValRatio;TestRatio;Accuracy;TestAccuracy
model_53_38_8.mat;1;100;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;38.8571428571429;8.57142857142857
model_53_44_11.mat;1;100;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;44.5714285714286;11.4285714285714
model_53_44_9.mat;1;100;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;44.5714285714286;9.52380952380952
model_53_47_9.mat;1;100;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;47.8571428571429;9.52380952380952
model_53_34_3.mat;1;100;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;34.5714285714286;3.80952380952381
model_53_41_13.mat;1;100;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;41;13.3333333333333
model_53_33_10.mat;1;100;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;33.2857142857143;10.4761904761905
model_53_51_7.mat;1;100;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;51;7.61904761904762
model_53_36_13.mat;1;100;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;36.1428571428571;13.3333333333333
model_53_39_10.mat;1;100;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;39.8571428571429;10.4761904761905
Média de ID: 53;1;100;tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;41.1714285714286;9.80952380952381
