FileName;NumberLayers;NumberNeurons;ActivationFunctions;TrainingFunction;Epochs;Division;TrainRatio;ValRatio;TestRatio;Accuracy;TestAccuracy;Learning Functions;Learning Rate
model_925_16_7.mat;2;[500 250];tansig tansig softmax;traingd;100;dividerand;0.7;0.15;0.15;16.6666666666667;7.93650793650794;learngdm learngdm;0.05
model_925_15_8.mat;2;[500 250];tansig tansig softmax;traingd;100;dividerand;0.7;0.15;0.15;15.952380952381;8.73015873015873;learngdm learngdm;0.05
model_925_14_7.mat;2;[500 250];tansig tansig softmax;traingd;100;dividerand;0.7;0.15;0.15;14.4047619047619;7.93650793650794;learngdm learngdm;0.05
model_925_15_8.mat;2;[500 250];tansig tansig softmax;traingd;100;dividerand;0.7;0.15;0.15;15.8333333333333;8.73015873015873;learngdm learngdm;0.05
model_925_17_7.mat;2;[500 250];tansig tansig softmax;traingd;100;dividerand;0.7;0.15;0.15;17.1428571428571;7.93650793650794;learngdm learngdm;0.05
model_925_15_8.mat;2;[500 250];tansig tansig softmax;traingd;100;dividerand;0.7;0.15;0.15;15;8.73015873015873;learngdm learngdm;0.05
model_925_15_6.mat;2;[500 250];tansig tansig softmax;traingd;100;dividerand;0.7;0.15;0.15;15.5952380952381;6.34920634920635;learngdm learngdm;0.05
model_925_21_10.mat;2;[500 250];tansig tansig softmax;traingd;100;dividerand;0.7;0.15;0.15;21.1904761904762;10.3174603174603;learngdm learngdm;0.05
model_925_14_6.mat;2;[500 250];tansig tansig softmax;traingd;100;dividerand;0.7;0.15;0.15;14.6428571428571;6.34920634920635;learngdm learngdm;0.05
model_925_14_7.mat;2;[500 250];tansig tansig softmax;traingd;100;dividerand;0.7;0.15;0.15;14.2857142857143;7.14285714285714;learngdm learngdm;0.05
Média de ID: 925;2;[500 250];tansig tansig softmax;traingd;100;dividerand;0.7;0.15;0.15;16.0714285714286;8.01587301587302;learngdm learngdm;0.05
