FileName;NumberLayers;NumberNeurons;ActivationFunctions;TrainingFunction;Epochs;Division;TrainRatio;ValRatio;TestRatio;Accuracy;TestAccuracy;Learning Functions;Learning Rate
model_14_63_31.mat;1;10;tansig purelin;trainc;1000;dividerand;0.7;0.15;0.15;63.7142857142857;31.4285714285714;learngdm;0
model_14_63_36.mat;1;10;tansig purelin;trainc;1000;dividerand;0.7;0.15;0.15;63.2857142857143;36.1904761904762;learngdm;0
model_14_72_26.mat;1;10;tansig purelin;trainc;1000;dividerand;0.7;0.15;0.15;72.4285714285714;26.6666666666667;learngdm;0
model_14_19_11.mat;1;10;tansig purelin;trainc;1000;dividerand;0.7;0.15;0.15;19.2857142857143;11.4285714285714;learngdm;0
model_14_8_5.mat;1;10;tansig purelin;trainc;1000;dividerand;0.7;0.15;0.15;8.85714285714286;5.71428571428571;learngdm;0
model_14_9_6.mat;1;10;tansig purelin;trainc;1000;dividerand;0.7;0.15;0.15;9.85714285714286;6.66666666666667;learngdm;0
model_14_15_10.mat;1;10;tansig purelin;trainc;1000;dividerand;0.7;0.15;0.15;15.8571428571429;10.4761904761905;learngdm;0
model_14_7_6.mat;1;10;tansig purelin;trainc;1000;dividerand;0.7;0.15;0.15;7.42857142857143;6.66666666666667;learngdm;0
model_14_9_4.mat;1;10;tansig purelin;trainc;1000;dividerand;0.7;0.15;0.15;9;4.76190476190476;learngdm;0
model_14_10_12.mat;1;10;tansig purelin;trainc;1000;dividerand;0.7;0.15;0.15;10.4285714285714;12.3809523809524;learngdm;0
Média de ID: 14;1;10;tansig purelin;trainc;1000;dividerand;0.7;0.15;0.15;28.0142857142857;15.2380952380952;learngdm;0
