FileName;NumberLayers;NumberNeurons;ActivationFunctions;TrainingFunction;Epochs;Division;TrainRatio;ValRatio;TestRatio;Accuracy;TestAccuracy;Learning Functions;Learning Rate
model_67_92_57.mat;2;[450 300];tansig tansig softmax;trainscg;2500;dividerand;0.7;0.15;0.15;92.2619047619048;57.9365079365079;learngdm learngdm;0.05
model_67_93_63.mat;2;[450 300];tansig tansig softmax;trainscg;2500;dividerand;0.7;0.15;0.15;93.0952380952381;63.4920634920635;learngdm learngdm;0.05
Média de ID: 67;2;[450 300];tansig tansig softmax;trainscg;2500;dividerand;0.7;0.15;0.15;92.6785714285714;60.7142857142857;learngdm learngdm;0.05
