FileName;NumberLayers;NumberNeurons;ActivationFunctions;TrainingFunction;Epochs;Division;TrainRatio;ValRatio;TestRatio;Accuracy;TestAccuracy;Learning Functions;Learning Rate
model_62_46_11.mat;1;500;tansig purelin;traingd;2000;dividerand;0.7;0.15;0.15;46.5476190476191;11.9047619047619;learncon;0.05
model_62_55_14.mat;1;500;tansig purelin;traingd;2000;dividerand;0.7;0.15;0.15;55.4761904761905;14.2857142857143;learncon;0.05
model_62_34_11.mat;1;500;tansig purelin;traingd;2000;dividerand;0.7;0.15;0.15;34.6428571428571;11.1111111111111;learncon;0.05
model_62_47_12.mat;1;500;tansig purelin;traingd;2000;dividerand;0.7;0.15;0.15;47.1428571428571;12.6984126984127;learncon;0.05
model_62_36_5.mat;1;500;tansig purelin;traingd;2000;dividerand;0.7;0.15;0.15;36.9047619047619;5.55555555555556;learncon;0.05
model_62_39_7.mat;1;500;tansig purelin;traingd;2000;dividerand;0.7;0.15;0.15;39.0476190476191;7.14285714285714;learncon;0.05
model_62_40_15.mat;1;500;tansig purelin;traingd;2000;dividerand;0.7;0.15;0.15;40.3571428571429;15.8730158730159;learncon;0.05
model_62_39_6.mat;1;500;tansig purelin;traingd;2000;dividerand;0.7;0.15;0.15;39.0476190476191;6.34920634920635;learncon;0.05
model_62_21_7.mat;1;500;tansig purelin;traingd;2000;dividerand;0.7;0.15;0.15;21.0714285714286;7.14285714285714;learncon;0.05
model_62_20_8.mat;1;500;tansig purelin;traingd;2000;dividerand;0.7;0.15;0.15;20.7142857142857;8.73015873015873;learncon;0.05
Média de ID: 62;1;500;tansig purelin;traingd;2000;dividerand;0.7;0.15;0.15;38.0952380952381;10.0793650793651;learncon;0.05
