FileName;NumberLayers;NumberNeurons;ActivationFunctions;TrainingFunction;Epochs;Division;TrainRatio;ValRatio;TestRatio;Accuracy;TestAccuracy;Learning Functions;Learning Rate
model_815_94_76.mat;5;[100 100 75 75 75];tansig tansig tansig tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;94.7142857142857;76.1904761904762;learngdm learngdm learngdm learngdm learngdm;0.05
model_815_94_71.mat;5;[100 100 75 75 75];tansig tansig tansig tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;94.4285714285714;71.4285714285714;learngdm learngdm learngdm learngdm learngdm;0.05
model_815_95_73.mat;5;[100 100 75 75 75];tansig tansig tansig tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;95.1428571428571;73.3333333333333;learngdm learngdm learngdm learngdm learngdm;0.05
model_815_94_72.mat;5;[100 100 75 75 75];tansig tansig tansig tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;94.7142857142857;72.3809523809524;learngdm learngdm learngdm learngdm learngdm;0.05
model_815_95_76.mat;5;[100 100 75 75 75];tansig tansig tansig tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;95;76.1904761904762;learngdm learngdm learngdm learngdm learngdm;0.05
model_815_95_70.mat;5;[100 100 75 75 75];tansig tansig tansig tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;95;70.4761904761905;learngdm learngdm learngdm learngdm learngdm;0.05
model_815_93_68.mat;5;[100 100 75 75 75];tansig tansig tansig tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;93.8571428571429;68.5714285714286;learngdm learngdm learngdm learngdm learngdm;0.05
model_815_94_77.mat;5;[100 100 75 75 75];tansig tansig tansig tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;94;77.1428571428572;learngdm learngdm learngdm learngdm learngdm;0.05
model_815_94_77.mat;5;[100 100 75 75 75];tansig tansig tansig tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;94.8571428571429;77.1428571428572;learngdm learngdm learngdm learngdm learngdm;0.05
model_815_95_75.mat;5;[100 100 75 75 75];tansig tansig tansig tansig tansig softmax;trainscg;2000;dividerand;0.7;0.15;0.15;95.1428571428571;75.2380952380952;learngdm learngdm learngdm learngdm learngdm;0.05
