FileName;NumberLayres;NumberNeurons;ActivationFunctions;TrainingFunction;Epochs;Division;TrainRatio;ValRatio;TestRatio;Accuracy;TestAccuracy
trains\train_7_14_7.mat;3;[10 1 1];tansig tansig tansig pureline;trainlm;1000;dividerand;0.7;0.15;0.15;14.2857142857143;7.61904761904762
trains\train_7_9_7.mat;3;[10 1 1];tansig tansig tansig pureline;trainlm;1000;dividerand;0.7;0.15;0.15;9;7.61904761904762
trains\train_7_14_11.mat;3;[10 1 1];tansig tansig tansig pureline;trainlm;1000;dividerand;0.7;0.15;0.15;14;11.4285714285714
trains\train_7_13_3.mat;3;[10 1 1];tansig tansig tansig pureline;trainlm;1000;dividerand;0.7;0.15;0.15;13.7142857142857;3.80952380952381
trains\train_7_13_6.mat;3;[10 1 1];tansig tansig tansig pureline;trainlm;1000;dividerand;0.7;0.15;0.15;13.4285714285714;6.66666666666667
trains\train_7_14_7.mat;3;[10 1 1];tansig tansig tansig pureline;trainlm;1000;dividerand;0.7;0.15;0.15;14.1428571428571;7.61904761904762
trains\train_7_14_11.mat;3;[10 1 1];tansig tansig tansig pureline;trainlm;1000;dividerand;0.7;0.15;0.15;14;11.4285714285714
trains\train_7_13_7.mat;3;[10 1 1];tansig tansig tansig pureline;trainlm;1000;dividerand;0.7;0.15;0.15;13.7142857142857;7.61904761904762
trains\train_7_13_9.mat;3;[10 1 1];tansig tansig tansig pureline;trainlm;1000;dividerand;0.7;0.15;0.15;13.8571428571429;9.52380952380952
trains\train_7_13_10.mat;3;[10 1 1];tansig tansig tansig pureline;trainlm;1000;dividerand;0.7;0.15;0.15;13.1428571428571;10.4761904761905
Média de ID: 7;3;[10 1 1];tansig tansig tansig pureline;trainlm;1000;dividerand;0.7;0.15;0.15;13.3285714285714;8.38095238095238
