FileName;NumberLayers;NumberNeurons;ActivationFunctions;TrainingFunction;Epochs;Division;TrainRatio;ValRatio;TestRatio;Accuracy;TestAccuracy;Learning Functions;Learning Rate
model_63_35_10.mat;1;300;tansig purelin;traingd;2000;dividerand;0.7;0.15;0.15;35.5952380952381;10.3174603174603;learngd;0.05
model_63_40_7.mat;1;300;tansig purelin;traingd;2000;dividerand;0.7;0.15;0.15;40.1190476190476;7.14285714285714;learngd;0.05
model_63_46_11.mat;1;300;tansig purelin;traingd;2000;dividerand;0.7;0.15;0.15;46.3095238095238;11.9047619047619;learngd;0.05
model_63_48_11.mat;1;300;tansig purelin;traingd;2000;dividerand;0.7;0.15;0.15;48.2142857142857;11.1111111111111;learngd;0.05
model_63_44_13.mat;1;300;tansig purelin;traingd;2000;dividerand;0.7;0.15;0.15;44.047619047619;13.4920634920635;learngd;0.05
model_63_25_7.mat;1;300;tansig purelin;traingd;2000;dividerand;0.7;0.15;0.15;25.4761904761905;7.14285714285714;learngd;0.05
model_63_22_9.mat;1;300;tansig purelin;traingd;2000;dividerand;0.7;0.15;0.15;22.6190476190476;9.52380952380952;learngd;0.05
model_63_21_7.mat;1;300;tansig purelin;traingd;2000;dividerand;0.7;0.15;0.15;21.547619047619;7.14285714285714;learngd;0.05
model_63_20_12.mat;1;300;tansig purelin;traingd;2000;dividerand;0.7;0.15;0.15;20;12.6984126984127;learngd;0.05
model_63_23_7.mat;1;300;tansig purelin;traingd;2000;dividerand;0.7;0.15;0.15;23.8095238095238;7.93650793650794;learngd;0.05
Média de ID: 63;1;300;tansig purelin;traingd;2000;dividerand;0.7;0.15;0.15;32.7738095238095;9.84126984126984;learngd;0.05
