FileName;NumberLayers;NumberNeurons;ActivationFunctions;TrainingFunction;Epochs;Division;TrainRatio;ValRatio;TestRatio;Accuracy;TestAccuracy;Learning Functions;Learning Rate
model_814_89_64.mat;4;[100 100 100 100];tansig tansig tansig tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;89.4;64;learngdm learngdm learngdm learngdm;0.05
model_814_90_66.mat;4;[100 100 100 100];tansig tansig tansig tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;90.2;66.6666666666667;learngdm learngdm learngdm learngdm;0.05
model_814_89_57.mat;4;[100 100 100 100];tansig tansig tansig tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;89.4;57.3333333333333;learngdm learngdm learngdm learngdm;0.05
model_814_89_66.mat;4;[100 100 100 100];tansig tansig tansig tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;89.8;66.6666666666667;learngdm learngdm learngdm learngdm;0.05
model_814_89_66.mat;4;[100 100 100 100];tansig tansig tansig tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;89.2;66.6666666666667;learngdm learngdm learngdm learngdm;0.05
model_814_89_58.mat;4;[100 100 100 100];tansig tansig tansig tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;89.8;58.6666666666667;learngdm learngdm learngdm learngdm;0.05
model_814_88_60.mat;4;[100 100 100 100];tansig tansig tansig tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;88.6;60;learngdm learngdm learngdm learngdm;0.05
model_814_89_56.mat;4;[100 100 100 100];tansig tansig tansig tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;89.4;56;learngdm learngdm learngdm learngdm;0.05
model_814_90_58.mat;4;[100 100 100 100];tansig tansig tansig tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;90.6;58.6666666666667;learngdm learngdm learngdm learngdm;0.05
model_814_91_62.mat;4;[100 100 100 100];tansig tansig tansig tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;91.2;62.6666666666667;learngdm learngdm learngdm learngdm;0.05
model_814_89_53.mat;4;[100 100 100 100];tansig tansig tansig tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;89.4;53.3333333333333;learngdm learngdm learngdm learngdm;0.05
model_814_90_69.mat;4;[100 100 100 100];tansig tansig tansig tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;90.6;69.3333333333333;learngdm learngdm learngdm learngdm;0.05
model_814_89_64.mat;4;[100 100 100 100];tansig tansig tansig tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;89.2;64;learngdm learngdm learngdm learngdm;0.05
model_814_90_65.mat;4;[100 100 100 100];tansig tansig tansig tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;90.6;65.3333333333333;learngdm learngdm learngdm learngdm;0.05
model_814_87_58.mat;4;[100 100 100 100];tansig tansig tansig tansig softmax;traingd;1000;dividerand;0.7;0.15;0.15;87.8;58.6666666666667;learngdm learngdm learngdm learngdm;0.05
