FileName;NumberLayers;NumberNeurons;ActivationFunctions;TrainingFunction;Epochs;Division;TrainRatio;ValRatio;TestRatio;Accuracy;TestAccuracy;Learning Functions;Learning Rate
model_807_66_13.mat;1;100;tansig purelin;traingd;1000;dividerand;0.7;0.15;0.15;66.4;13.3333333333333;learngdm;0.05
model_807_82_37.mat;1;100;tansig purelin;traingd;1000;dividerand;0.7;0.15;0.15;82.2;37.3333333333333;learngdm;0.05
model_807_56_18.mat;1;100;tansig purelin;traingd;1000;dividerand;0.7;0.15;0.15;56.6;18.6666666666667;learngdm;0.05
model_807_61_17.mat;1;100;tansig purelin;traingd;1000;dividerand;0.7;0.15;0.15;61.6;17.3333333333333;learngdm;0.05
model_807_62_16.mat;1;100;tansig purelin;traingd;1000;dividerand;0.7;0.15;0.15;62.6;16;learngdm;0.05
model_807_72_32.mat;1;100;tansig purelin;traingd;1000;dividerand;0.7;0.15;0.15;72.8;32;learngdm;0.05
model_807_71_26.mat;1;100;tansig purelin;traingd;1000;dividerand;0.7;0.15;0.15;71;26.6666666666667;learngdm;0.05
model_807_54_17.mat;1;100;tansig purelin;traingd;1000;dividerand;0.7;0.15;0.15;54;17.3333333333333;learngdm;0.05
model_807_49_12.mat;1;100;tansig purelin;traingd;1000;dividerand;0.7;0.15;0.15;49.2;12;learngdm;0.05
model_807_65_21.mat;1;100;tansig purelin;traingd;1000;dividerand;0.7;0.15;0.15;65.2;21.3333333333333;learngdm;0.05
Média de ID: 807;1;100;tansig purelin;traingd;1000;dividerand;0.7;0.15;0.15;64.16;21.2;learngdm;0.05
