FileName;NumberLayres;NumberNeurons;ActivationFunctions;TrainingFunction;Epochs;Division;TrainRatio;ValRatio;TestRatio;Accuracy;TestAccuracy
trains\train_5_78_22.mat;2;[20 20];tansig tansig pureline;trainlm;1000;dividerand;0.7;0.15;0.15;78.5714285714286;22.8571428571429
trains\train_5_82_32.mat;2;[20 20];tansig tansig pureline;trainlm;1000;dividerand;0.7;0.15;0.15;82.4285714285714;32.3809523809524
trains\train_5_76_16.mat;2;[20 20];tansig tansig pureline;trainlm;1000;dividerand;0.7;0.15;0.15;76.1428571428571;16.1904761904762
trains\train_5_84_36.mat;2;[20 20];tansig tansig pureline;trainlm;1000;dividerand;0.7;0.15;0.15;84.4285714285714;36.1904761904762
trains\train_5_85_36.mat;2;[20 20];tansig tansig pureline;trainlm;1000;dividerand;0.7;0.15;0.15;85.1428571428571;36.1904761904762
trains\train_5_83_28.mat;2;[20 20];tansig tansig pureline;trainlm;1000;dividerand;0.7;0.15;0.15;83.2857142857143;28.5714285714286
trains\train_5_85_34.mat;2;[20 20];tansig tansig pureline;trainlm;1000;dividerand;0.7;0.15;0.15;85.2857142857143;34.2857142857143
trains\train_5_75_24.mat;2;[20 20];tansig tansig pureline;trainlm;1000;dividerand;0.7;0.15;0.15;75.7142857142857;24.7619047619048
trains\train_5_82_25.mat;2;[20 20];tansig tansig pureline;trainlm;1000;dividerand;0.7;0.15;0.15;82.7142857142857;25.7142857142857
trains\train_5_80_36.mat;2;[20 20];tansig tansig pureline;trainlm;1000;dividerand;0.7;0.15;0.15;80.5714285714286;36.1904761904762
Média de ID: 5;2;[20 20];tansig tansig pureline;trainlm;1000;dividerand;0.7;0.15;0.15;81.4285714285714;29.3333333333333
